,Date,Volume,Open,High,Low,Close,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,MACD_Line,MACD_Signal,MACD_Hist,RSI_7,RSI_14,RSI_21,ROC_12,ATR_14,BB_Middle_20,BB_Upper_20,BB_Lower_20,StochK_14,StochD_14,KDJ_K_14,KDJ_D_14,KDJ_J_14,OBV,CMF_20,NADAQ CLOSE
29,2025-07-25,122316800.0,173.61,174.72,172.96,173.5,178.754,,,177.3674298826832,174.6876142866794,169.81284154031667,0.4479810926689538,1.510318698827794,-1.06233760615884,36.75105102431495,43.766984838718166,47.12664751403096,-5.2740773094562154,5.139600088023589,178.754,185.0473160868036,172.4606839131964,32.10694137822837,42.45768947724469,32.10694137822837,42.45768947724469,11.405445180195727,875876600.0,0.12992656137281994,21108.32
30,2025-07-24,128984600.0,172.44,173.83,171.3,173.74,178.692,,,177.0219603700467,174.65045294210375,169.85191774389563,0.12616902019232157,1.2334887631006994,-1.1073197429083779,37.75867329476883,44.26937693942352,47.49400523510957,-4.569922003735027,4.95320008173619,178.692,185.16376734992684,172.22023265007317,27.7655138580249,35.37731992452107,27.7655138580249,35.37731992452107,12.54190172503256,1004861200.0,0.17927892733935383,21057.96
31,2025-07-23,154082200.0,169.53,171.26,167.97,170.78,178.46099999999998,,,176.4274879538518,174.49867047378598,169.86115239321012,-0.36352612514053817,0.914085785452452,-1.2776119105929902,30.717334634858076,39.573458055078646,43.57347929305451,-6.5243568691844445,5.011542933040749,178.46099999999998,185.71058336370913,171.21141663629083,19.279482778500256,26.383979338251176,19.279482778500256,26.383979338251176,5.070489658998419,850779000.0,0.16008163977979017,21020.02
32,2025-07-22,193114300.0,171.34,171.39,164.58,167.03,178.03050000000002,,,175.532489101104,174.2057814355983,169.83298172263093,-1.0421929640749568,0.5228300355469703,-1.565022999621927,24.080148306325256,34.57029655529004,39.2621743757951,-7.600818719920344,5.140004152109265,178.03050000000002,186.84013939760246,169.22086060239758,17.109150280155287,21.384715638893482,17.109150280155287,21.384715638893482,8.558019562678894,657664700.0,0.1994952041254143,20892.68
33,2025-07-21,123126100.0,172.75,173.38,171.0,171.38,177.499,,,175.13701394861792,174.09496647733957,169.8483749393212,-1.2150266075241234,0.17525870693275156,-1.390285314456875,41.25754522520714,43.49457901360601,45.79462508011293,-4.481105785308214,5.226432426958603,177.499,186.5763191034172,168.42168089658279,21.863103011314326,19.417245356656622,21.863103011314326,19.417245356656622,26.754818320629738,780790800.0,0.1639071348233844,20974.17
34,2025-07-18,146456400.0,173.64,174.25,171.26,172.41,177.097,,,174.87729833446383,174.02888936058116,169.8738637458951,-1.2544258825054158,-0.11067821095488191,-1.143747671550534,44.713109099524544,45.393789271922564,47.206304966279035,-3.281723325479635,5.066687253604417,177.097,186.33475570830467,167.85924429169535,29.918128072115838,22.963460454528484,29.918128072115838,22.963460454528484,43.82746330729055,927247200.0,0.1407945178551586,20895.66
35,2025-07-17,160841100.0,172.02,174.16,170.83,173.0,176.64600000000002,,,174.69850801689586,173.98854075820543,169.9049695792693,-1.223933281621754,-0.33332922508825635,-0.8906040565334977,46.80435215949079,46.502994419629864,48.02050296961768,-3.888888888888886,4.942638164061243,176.64600000000002,185.75155735454132,167.5404426454587,40.67957205889025,30.820267714106805,40.67957205889025,30.820267714106805,60.39818074845715,1088088300.0,0.13680283541201338,20885.65
36,2025-07-16,158831500.0,171.06,171.75,168.9,171.37,176.135,,,174.38150725338195,173.88585288533463,169.919546996391,-1.3161235996573737,-0.5298881000020799,-0.7862354996552938,41.718190180526584,43.852744151540655,45.96417521596927,-1.3527515542251844,4.882449723771154,176.135,185.2193845198925,167.0506154801075,41.02564102542181,37.207780385475964,41.02564102542181,37.207780385475964,48.66136230531352,929256800.0,0.1772783191791414,20730.49
37,2025-07-15,230627400.0,171.19,172.4,169.195,170.7,175.512,,,174.03088751496463,173.7609174780666,169.92731269791946,-1.4268012152162441,-0.7092707230449128,-0.7175304921713314,39.65185194228548,42.773662547597375,45.13009394849658,-4.031033901163783,4.76263188635893,175.512,184.2710520996401,166.7529479003599,37.980769230566274,39.89532743829278,37.980769230566274,39.89532743829278,34.151652815113266,698629400.0,0.1462930036691516,20677.8
38,2025-07-14,136975800.0,165.37,165.49,162.02,164.07,174.6125,,,173.08223156115847,173.3808814985346,169.8690309795322,-2.0261434927599,-0.9726452769879103,-1.0534982157719894,25.22666799819669,33.88739949468088,37.97084890652564,-8.47883081385621,5.042443894476148,174.6125,184.19632161990216,165.02867838009786,26.199044619959285,35.06848495864912,26.199044619959285,35.06848495864912,8.460163942579612,561653600.0,0.15384266077144323,20640.33
